predecessor,successor,quantity
N001719,N001693,0.001
N000929,N001693,0.021
N002433,N001693,0.002
N002627,N001693,0.002
N002019,N001693,0.006999999999999999
N001118,N001693,0.004
N002823,N001693,0.034
N003056,N001693,0.027999999999999997
N003732,N001693,0.003
N002794,N001693,0.002
N000060,N001693,0.018000000000000002
N001705,N001693,0.001
N001696,N001693,0.004
N001134,N001693,0.004
N002894,N001693,0.001
N001823,N001693,0.004
N003164,N001693,0.001
N001703,N001693,0.001
N001727,N001693,0.002
N003632,N001693,0.001
N002966,N001693,0.001
N000194,N001693,0.001
N002223,N001693,0.002
N003202,N001693,0.001
N001606,N001693,0.002
N003019,N001693,0.002
N003349,N001693,0.001
N000681,N001693,0.001
N001834,N001693,0.002
N001777,N001693,0.003
N001535,N001693,0.001
N000922,N001693,0.001
N001300,N001693,0.001
N000226,N001693,0.002
N001229,N001693,0.002
N000871,N001693,0.002
N001121,N001693,0.001
N000187,N001693,0.002
N002282,N001693,0.001
N000504,N001693,1.0
N000181,N001693,3.0
N002838,N001693,1.0
N002774,N001693,2.0
N002110,N001693,1.0
N000291,N001693,2.0
N002495,N001693,1.0
N003621,N001693,2.0
N000497,N001693,1.0
N002292,N001693,4.0
N003563,N001693,1.0
N000907,N001693,1.0
N002856,N001693,1.0
N002335,N001693,1.0
N001582,N001693,1.0
N003321,N001693,1.0
N003737,N001693,1.0
N000951,N001693,1.0
N000437,N001693,1.0
N003572,N001693,1.0
N000894,N001693,1.0
N000576,N001693,2.0
N000785,N001693,1.0
N002460,N001693,2.0
N003493,N001693,1.0
N001186,N001693,1.0
N000395,N001693,1.0
N002255,N001693,1.0
N001031,N001693,1.0
N002216,N001693,1.0
N000947,N001693,7.0
N000463,N001693,1.0
N000034,N001693,1.0
N002751,N001693,1.0
N000829,N001693,1.0
N001746,N001693,2.0
N002609,N001693,1.0
N001527,N001693,1.0
N002684,N001693,1.0
N002877,N001693,1.0
N000997,N001693,1.0
N001879,N001693,1.0
N000070,N001693,1.0
N000301,N001693,1.0
N001308,N001693,1.0
N003055,N001693,1.0
N002167,N001693,1.0
N003238,N001693,1.0
N003614,N001693,1.0
N000831,N001693,2.0
N003532,N001693,1.0
N000390,N001693,1.0
N003355,N001693,2.0
N001161,N001693,1.0
N000201,N001693,1.0
N003341,N001693,1.0
N001880,N001693,1.0
N003828,N001693,1.0
N000620,N001693,0.001
N002182,N001693,0.002
N002340,N001693,0.001
N002747,N001693,0.002
N002977,N001693,0.001
N001103,N001693,0.001
N000236,N001693,0.001
N000991,N001693,0.006
N003613,N001693,0.001
N001024,N001693,0.001
N001765,N001693,0.002
N000093,N001693,0.002
N001261,N001693,0.001
N003744,N001693,0.002
N003123,N001693,0.001
N002123,N001693,0.001
N002254,N001693,0.001
N000327,N001693,0.003
N000132,N001693,0.001
N002127,N001693,0.011000000000000001
N003322,N001693,0.01
N001479,N001693,0.001
N002682,N001693,0.01
N003069,N001693,1.0
N001831,N001693,1.0
N000933,N001693,1.0
N000304,N001693,1.0
N002610,N001693,1.0
N001691,N001693,1.0
N000458,N001693,1.0
N003197,N001693,1.0
N001057,N001693,1.0
N000051,N001693,1.0
N001047,N001693,2.0
N003181,N001693,1.0
N003696,N001693,1.0
N003396,N001693,1.0
N003190,N001693,1.0
N003345,N001693,0.001
N000075,N001693,0.001
N003644,N001693,1.0
N002419,N001693,1.0
N000391,N001693,1.0
N001111,N001693,1.0
N000089,N001693,1.0
N000599,N001693,1.0
N003609,N001693,1.0
N002142,N001693,1.0
N000515,N001693,4.0
N001667,N001693,1.0
N001088,N001693,2.0
N003645,N001693,2.0
N001200,N001693,1.0
N002456,N001693,1.0
N000974,N001693,1.0
N001086,N001901,1.0
N001802,N001901,2.0
N000610,N001901,1.0
N001452,N001901,1.0
N002504,N001901,1.0
N003635,N001901,1.0
N001872,N001901,1.0
N002875,N001901,1.0
N001477,N001901,0.00011
N000839,N001901,0.2
N001907,N001901,0.1
N002440,N001901,0.1
N002230,N001661,1.0
N001273,N001661,1.0
N001664,N001273,1.25
N000519,N001273,0.001
N000416,N001273,0.001
N002051,N001273,0.001
N001549,N001273,0.001
N000204,N001273,0.001
N000876,N001273,0.001
N000995,N001273,0.002
N001226,N001273,0.001
N003694,N001273,0.001
N001007,N001273,0.001
N000362,N001273,0.008
N002077,N001273,0.001
N002739,N001273,0.001
N001454,N001273,0.001
N002180,N001273,0.001
N001145,N001273,0.002
N003191,N001273,0.004
N003337,N001273,0.002
N002710,N001273,0.001
N000278,N001273,0.002
N000156,N001273,0.002
N001008,N001273,0.001
N001480,N001273,0.001
N001193,N001273,0.001
N003663,N001273,0.001
N001927,N001273,0.002
N002514,N001273,0.019
N002994,N001273,0.001
N002701,N001273,0.002
N003651,N001273,0.002
N000392,N001273,0.001
N000885,N001273,0.001
N000414,N001273,0.001
N003319,N001273,0.006
N002612,N001273,0.017
N000425,N001273,0.027999999999999997
